filename;ecocor_id
Charles_Sealsfield_-_In_der_Praerie_verirrt_(1841);eco_de_000072
Christen_Ada_Als_er_heimkehrte;eco_de_0000147
Christen_Ada_Der_einsame_Spatz;eco_de_0000148
Christen_Ada_Kaethes_Federhut;eco_de_0000149
Christen_Ada_Nachbar_Krippelmacher;eco_de_0000150
Christoph_von_Schmid_-_Wie_Heinrich_von_Eichenfels_zur_Erkenntnis_Gottes_kam_(1817);eco_de_000073
Clemens_Brentano_-_Aus_der_Chronika_eines_fahrenden_Schuelers_(Zweite_Fassung)_(1818);eco_de_000074
Clemens_Brentano_-_Die_mehreren_Wehmueller_und_ungarischen_Nationalgesichter_(1817);eco_de_000075
Curt_Grottewitz_-_Sonntage_eines_Grossstaedters_in_der_Natur_(1906);eco_de_000076
David_Friedrich_Weinland_-_Rulaman_(1878);eco_de_000077
Dery_Juliane_Selige_Liebe;eco_de_0000151
Dirnboeck-Schulz_Jenny_Aus_Mizis_Memoiren;eco_de_0000152
Dohm_Hedwig_Werde;eco_de_0000153
ETA_Hoffmann_-_Die_Irrungen_-_Verloren_und_Gefunden_(1820);eco_de_000078
Eduard_von_Keyserling_-_Seine_Liebeserfahrung_(1906);eco_de_000079
Ferdinand_von_Saar_-_Innocens_(1866);eco_de_000080
Franz_Kafka_-_Auf_der_Galerie_(1916);eco_de_000081
Franz_Kafka_-_Der_Geier_(1916);eco_de_000082
Franz_Kafka_-_Prometheus_(1918);eco_de_000083
Franz_Kafka_-_Schakale_und_Araber_(1916);eco_de_000084
Frapan_Ilse_Altmodische_Leute;eco_de_0000154
Frapan_Ilse_Uns_Ida;eco_de_0000155
Frapan_Ilse_Was_der_Alltag_dichtet_Ameise;eco_de_0000156
Frapan_Ilse_Was_der_Alltag_dichtet_Dort_oben;eco_de_0000157
Friedrich_Gerstaecker_-_Der_Fischfang_am_Mississippi_(1847);eco_de_000085
Friedrich_Gerstaecker_-_Die_Nacht_auf_dem_Walfisch_(1858);eco_de_000086
Friedrich_Gerstaecker_-_Die_Regulatoren_in_Arkansas_(1845);eco_de_000087
Friedrich_Gerstaecker_-_John_Wells_(1859);eco_de_000088
Gottfried_August_Buerger_-_Muenchhausen_(1786);eco_de_000089
Gottfried_Keller_-_Die_drei_gerechten_Kammacher_(1856);eco_de_000090
Gottfried_Keller_-_Spiegel,_das_Kaetzchen_(1856);eco_de_000091
Guenther_Agnes_Die_Heilige;eco_de_000067
Gustav_Sack_-_Ein_verbummelter_Student_(1917);eco_de_000092
Harder_Agnes_Schlumski;eco_de_0000158
Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Grossmutters_Kathrin;eco_de_0000159
Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Maiblumen;eco_de_0000160
Heimburg_Wilhelmine_Alte_Liebe_und_anderes_Originale;eco_de_0000161
Heinrich_Heine_-_Schnabelewopski_(1834);eco_de_000093
Heinrich_Laube_-_Johanna_(1837);eco_de_000094
Heinrich_Seidel_-_Der_Rosenkoenig_(1899);eco_de_000095
Heinrich_Seidel_-_Ein_Skizzenbuch_(1878);eco_de_000096
Heinrich_Seidel_-_Fliegender_Sommer_(1873);eco_de_000097
Hermann_Loens_-_Aus_Forst_und_Flur._Vierzig_Tiernovellen_(1914);eco_de_000098
Hermann_Loens_-_Der_zweckmaessige_Meyer_und_andere_Geschichten_(1911);eco_de_000099
Hermann_Loens_-_Heimatliche_Naturbilder_-_Da_draussen_vor_dem_Tore_(1911);eco_de_0000100
Hermann_Loens_-_Jagdgeschichten_(1914);eco_de_0000101
Hermann_Loens_-_Kraut_und_Lot_(1911);eco_de_0000102
Hermann_Loens_-_Mein_braunes_Buch_(1907);eco_de_0000103
Hermann_Loens_-_Mein_buntes_Buch_(1913);eco_de_0000104
Hermann_Loens_-_Mein_gruenes_Buch_(1901);eco_de_0000105
Hermann_Loens_-_Tiergeschichten_(1909);eco_de_0000106
Jakob_Michael_Reinhold_Lenz_-_Empfindsamster_aller_Romane_(1781);eco_de_0000107
Janitschek_Maria_Das_kleine_Huendchen;eco_de_0000162
Janitschek_Maria_Kind_Gottes;eco_de_0000163
Janitschek_Maria_Klare_Rechnung;eco_de_0000164
Jean_Paul_-_Schulmeisterlein_Wutz_(1790);eco_de_0000108
Jean_Qui_Rit_-_Scharfe_Geschichten_(1908);eco_de_0000109
Jeremias_Gotthelf_-_Der_Oberamtmann_und_der_Amtsrichter_(1853);eco_de_0000110
Jeremias_Gotthelf_-_Die_schwarze_Spinne_(1842);eco_de_0000111
Jeremias_Gotthelf_-_Kurt_von_Koppigen_(1844);eco_de_0000112
Johann_David_Wyss_-_Der_schweizerische_Robinson_(1812);eco_de_0000113
Johanna_Spyri_-_Beim_Weiden-Joseph_(1882);eco_de_0000114
Joseph_von_Eichendorff_-_Das_Marmorbild_(1819);eco_de_0000115
Joseph_von_Eichendorff_-_Die_Gluecksritter_(1841);eco_de_0000116
Joseph_von_Eichendorff_-_Libertas_und_ihre_Freier_(1848);eco_de_0000117
Karl_Philipp_Moritz_-_Fragmente_aus_dem_Tagebuche_eines_Geistersehers_(1787);eco_de_0000118
Klabund_-_Franziskus_(1921);eco_de_0000119
Klabund_-_Hieronymus_(1928);eco_de_0000120
Klabund_-_Mohammed_(1917);eco_de_0000121
Klabund_-_Moreau_(1915);eco_de_0000122
Koenig_Alma_Johanna_Schibes;eco_de_0000165
Kurd_Lasswitz_-_Homchen_(1902);eco_de_0000123
Leopold_von_Sacher-Masoch_-_Der_Capitulant_(1875);eco_de_0000124
Leopold_von_Sacher-Masoch_-_Don_Juan_von_Kolomea_(1875);eco_de_0000125
Ludwig_Aurbacher_-_Erzaehlungen,_Lieder_und_Sprueche_aus_dem_Allerley_(1847);eco_de_0000126
Ludwig_Bechstein_-_In_optima_forma_(1854);eco_de_0000127
Ludwig_Tieck_-_Die_schoene_Magelone_(1812);eco_de_0000128
Manfred_Kyber_-_Balduin_Brummsel_und_andere_Tiergeschichten_(1933);eco_de_0000129
