Word,PoS,GermaNet_fields
Kreide,nomen,natGegenstand
Täubchen,nomen,Tier
Abendrot,nomen,natPhaenomen
Kolben,nomen,Pflanze
Fink,nomen,Tier
Ziegel,nomen,natGegenstand
Ameise,nomen,Tier
Ranke,nomen,Pflanze
Reif,nomen,natPhaenomen
Kies,nomen,natGegenstand
hellen,verben,natPhaenomen
Schnecke,nomen,Tier
Specht,nomen,Tier
winterlich,adj,natPhaenomen
Krebs,nomen,Tier
Lehm,nomen,natGegenstand
Erdbeben,nomen,natPhaenomen
wolkenlos,adj,natPhaenomen
Röschen,nomen,Pflanze
Ablauf,nomen,natPhaenomen
Hafer,nomen,Pflanze
Eidechse,nomen,Tier
Beben,nomen,natPhaenomen
schüren,verben,natPhaenomen
Brut,nomen,natPhaenomen Tier
Ähre,nomen,Pflanze
Mais,nomen,Pflanze
Möwe,nomen,Tier
Rebe,nomen,Pflanze
Hecht,nomen,Tier
unfruchtbar,adj,natPhaenomen
Stute,nomen,Tier
Schwamm,nomen,Pflanze Tier
Regenbogen,nomen,natPhaenomen
Brüten,nomen,natPhaenomen
Feuchtigkeit,nomen,natPhaenomen
Kaninchen,nomen,Tier
Geröll,nomen,natGegenstand
Apfelbaum,nomen,Pflanze
Widerhall,nomen,natPhaenomen
entflammen,verben,natPhaenomen
Garbe,nomen,Pflanze
Weizen,nomen,Pflanze
Star,nomen,Tier
Efeu,nomen,Pflanze
Floh,nomen,Tier
Zwielicht,nomen,natPhaenomen
Sau,nomen,Tier
Brillant,nomen,natGegenstand
Orkan,nomen,natPhaenomen
Spitz,nomen,Tier
Trug,nomen,natPhaenomen
verdüstern,verben,natPhaenomen
Geiz,nomen,Pflanze
Büffel,nomen,Tier
Abgang,nomen,natPhaenomen
sommerlich,adj,natPhaenomen
Nässe,nomen,natPhaenomen
Auster,nomen,Tier
Kalk,nomen,natGegenstand
Findling,nomen,natGegenstand
Hering,nomen,Tier
Erbse,nomen,Pflanze
Sprössling,nomen,Pflanze
Schwüle,nomen,natPhaenomen
Raupe,nomen,Tier
Morgenrot,nomen,natPhaenomen
Bracke,nomen,Tier
Habicht,nomen,Tier
wettern,verben,natPhaenomen
Flachs,nomen,Pflanze
Pfau,nomen,Tier
Kiesel,nomen,natGegenstand
Ungeziefer,nomen,Tier
Klee,nomen,Pflanze
Wedel,nomen,Pflanze
Igel,nomen,Tier
Geflügel,nomen,Tier
Zwiebel,nomen,Pflanze
Helligkeit,nomen,natPhaenomen
Phantom,nomen,natPhaenomen
Läuten,nomen,natPhaenomen
Nymphe,nomen,Tier
Bäumchen,nomen,Pflanze
Kanarienvogel,nomen,Tier
Falter,nomen,Tier
Rubin,nomen,natGegenstand
Trägheit,nomen,natPhaenomen
Lüftchen,nomen,natPhaenomen
Schneeflocke,nomen,natPhaenomen
Kätzchen,nomen,Pflanze Tier
Feuerschein,nomen,natPhaenomen
tropisch,adj,natPhaenomen
Baumwolle,nomen,Pflanze
Eber,nomen,Tier
Abenddämmerung,nomen,natPhaenomen
Hammel,nomen,Tier
Morgenröte,nomen,natPhaenomen
Aufgang,nomen,natPhaenomen
Harz,nomen,natGegenstand
Eichhörnchen,nomen,Tier
tagen,verben,natPhaenomen
Feige,nomen,Pflanze
Abgabe,nomen,natPhaenomen
Grashalm,nomen,Pflanze
Zypresse,nomen,Pflanze
Pilz,nomen,Pflanze
windig,adj,natPhaenomen
Erle,nomen,Pflanze
Schildkröte,nomen,Tier
Hündchen,nomen,Tier
felsig,adj,natPhaenomen
perlen,verben,natPhaenomen
Köhler,nomen,Tier
Strohhalm,nomen,Pflanze
Rascheln,nomen,natPhaenomen
Knebel,nomen,natGegenstand
Ulme,nomen,Pflanze
Feuersbrunst,nomen,natPhaenomen
Brise,nomen,natPhaenomen
niederbrennen,verben,natPhaenomen
Aal,nomen,Tier
Schwingung,nomen,natPhaenomen
Koralle,nomen,natGegenstand Tier
Ebbe,nomen,natPhaenomen
Temperatur,nomen,natPhaenomen
Staude,nomen,Pflanze
Lawine,nomen,natPhaenomen
Klatsch,nomen,natPhaenomen
Birnbaum,nomen,natGegenstand Pflanze
Vögelchen,nomen,Tier
waldig,adj,natPhaenomen
Steinchen,nomen,natGegenstand
knorrig,adj,natPhaenomen
bucklig,adj,natPhaenomen
abbrennen,verben,natPhaenomen
Vergissmeinnicht,nomen,Pflanze
Hall,nomen,natPhaenomen
Baumwipfel,nomen,Pflanze
Köter,nomen,Tier
Motte,nomen,Tier
Hyäne,nomen,Tier
Dämmerlicht,nomen,natPhaenomen
Herdfeuer,nomen,natPhaenomen
Raubvogel,nomen,Tier
dunstig,adj,natPhaenomen
Irrlicht,nomen,natPhaenomen
Morgendämmerung,nomen,natPhaenomen
Reiher,nomen,Tier
Schnelle,nomen,natPhaenomen
erglänzen,verben,natPhaenomen
Nussbaum,nomen,natGegenstand Pflanze
sieden,verben,natPhaenomen
Dogge,nomen,Tier
Kaminfeuer,nomen,natPhaenomen
Smaragd,nomen,natGegenstand
Sirene,nomen,Tier
Morgenlicht,nomen,natPhaenomen
rumoren,verben,natPhaenomen
Binse,nomen,Pflanze
Distel,nomen,Pflanze
blumig,adj,natPhaenomen
Maulwurf,nomen,Tier
Tannenbaum,nomen,Pflanze
Baumkrone,nomen,Pflanze
Ost,nomen,natPhaenomen
schiffen,verben,natPhaenomen
Pony,nomen,Tier
Nord,nomen,natPhaenomen
Jagdhund,nomen,Tier
Getier,nomen,Tier
Christbaum,nomen,Pflanze
Pflaume,nomen,Pflanze
Tulpe,nomen,Pflanze
Blümchen,nomen,Pflanze
Oleander,nomen,Pflanze
Regenguss,nomen,natPhaenomen
Drossel,nomen,Tier
Elster,nomen,Tier
Segler,nomen,Tier
Regentropfen,nomen,natPhaenomen
aufflammen,verben,natPhaenomen
Sphinx,nomen,Tier
Marder,nomen,Tier
Vegetation,nomen,Pflanze
Mittagssonne,nomen,natPhaenomen
qualmen,verben,natPhaenomen
Taifun,nomen,natPhaenomen
Sperber,nomen,Tier
Abendwind,nomen,natPhaenomen
Spindel,nomen,Pflanze
hinfallen,verben,natPhaenomen
Reflex,nomen,natPhaenomen
Wachtel,nomen,Tier
Walfisch,nomen,Tier
Kranich,nomen,Tier
Trog,nomen,natPhaenomen
Horst,nomen,natGegenstand
anfachen,verben,natPhaenomen
durchbrennen,verben,natPhaenomen
Überschwemmung,nomen,natPhaenomen
Kleeblatt,nomen,Pflanze
Kirschbaum,nomen,natGegenstand Pflanze
Wiesel,nomen,Tier
Laus,nomen,Tier
Aphrodite,nomen,Tier
Esche,nomen,natGegenstand Pflanze
Hausen,nomen,Tier
Untier,nomen,Tier
Finne,nomen,Tier
Weihnachtsbaum,nomen,Pflanze
Geiß,nomen,Tier
Maikäfer,nomen,Tier
Mustang,nomen,Tier
Heidekraut,nomen,Pflanze
Barbe,nomen,Tier
Wespe,nomen,Tier
Pferdchen,nomen,Tier
Windhauch,nomen,natPhaenomen
Liane,nomen,Pflanze
Tief,nomen,natPhaenomen
Heuschrecke,nomen,Tier
Anziehungskraft,nomen,natPhaenomen
Meise,nomen,Tier
zerklüftet,adj,natPhaenomen
Bergwand,nomen,natGegenstand
Renner,nomen,Tier
Geläut,nomen,natPhaenomen
umwehen,verben,natPhaenomen
Nimbus,nomen,natPhaenomen
Reaktion,nomen,natPhaenomen
Sporn,nomen,Pflanze
Felsenwand,nomen,natGegenstand
Reitpferd,nomen,Tier
aufhellen,verben,natPhaenomen
Aster,nomen,Pflanze
Guss,nomen,natPhaenomen
Tölpel,nomen,Tier
Zehe,nomen,Pflanze
Ungewitter,nomen,natPhaenomen
durchglühen,verben,natPhaenomen
Roggen,nomen,Pflanze
Taucher,nomen,Tier
Natter,nomen,Tier
Löwin,nomen,Tier
Rehbock,nomen,Tier
Ferkel,nomen,Tier
Libelle,nomen,Tier
Kastanienbaum,nomen,Pflanze
Falbe,nomen,Tier
Granit,nomen,natGegenstand
neblig,adj,natPhaenomen
Hülse,nomen,Pflanze
Morast,nomen,natGegenstand
Iltis,nomen,Tier
Platane,nomen,Pflanze
Schwaden,nomen,natPhaenomen
Meteor,nomen,natPhaenomen
Misston,nomen,natPhaenomen
Schäfchen,nomen,Tier
Lagerfeuer,nomen,natPhaenomen
entfachen,verben,natPhaenomen
Hummer,nomen,Tier
Pfirsich,nomen,Pflanze
Uhu,nomen,Tier
Ostwind,nomen,natPhaenomen
Stör,nomen,Tier
Totenkopf,nomen,Tier
Ableben,nomen,natPhaenomen
Naturgesetz,nomen,natPhaenomen
unwirtlich,adj,natPhaenomen
Bohle,nomen,natGegenstand
Hai,nomen,Tier
Schneegestöber,nomen,natPhaenomen
Eichenholz,nomen,natGegenstand
Karpfen,nomen,Tier
Flieder,nomen,Pflanze
Süd,nomen,natPhaenomen
Echse,nomen,Tier
Rebhuhn,nomen,Tier
Wetterleuchten,nomen,natPhaenomen
Schakal,nomen,Tier
Erika,nomen,Pflanze
Gewitterwolke,nomen,natPhaenomen
Flimmern,nomen,natPhaenomen
Waller,nomen,Tier
Frühlingssonne,nomen,natPhaenomen
Regenwetter,nomen,natPhaenomen
Rappe,nomen,Tier
Windstille,nomen,natPhaenomen
Schlacke,nomen,natGegenstand
überstrahlen,verben,natPhaenomen
Seehund,nomen,Tier
Schneesturm,nomen,natPhaenomen
Baumstumpf,nomen,Pflanze
Langsamkeit,nomen,natPhaenomen
Kerzenlicht,nomen,natPhaenomen
Kürbis,nomen,Pflanze
Impuls,nomen,natPhaenomen
Springer,nomen,Tier
Schlingpflanze,nomen,Pflanze
Rosenstock,nomen,Pflanze
Gazelle,nomen,Tier
Reflexion,nomen,natPhaenomen
auflodern,verben,natPhaenomen
Rotkehlchen,nomen,Tier
Fasan,nomen,Tier
Nordwind,nomen,natPhaenomen
regnerisch,adj,natPhaenomen
schillern,verben,natPhaenomen
Abendlicht,nomen,natPhaenomen
Bulle,nomen,Tier
Rentier,nomen,Tier
Nessel,nomen,Pflanze
bestrahlen,verben,natPhaenomen
tröpfeln,verben,natPhaenomen
Orchidee,nomen,Pflanze
Moskito,nomen,Tier
Luchs,nomen,Tier
stöbern,verben,natPhaenomen
Skorpion,nomen,Tier
Windhund,nomen,Tier
Laubwerk,nomen,Pflanze
Alligator,nomen,Tier
Schub,nomen,natPhaenomen
Zapfen,nomen,Pflanze
Dürre,nomen,natPhaenomen
Wirbelwind,nomen,natPhaenomen
Elektrizität,nomen,natPhaenomen
Abendröte,nomen,natPhaenomen
Gerste,nomen,Pflanze
Bastard,nomen,Pflanze Tier
Butt,nomen,Tier
Halbmond,nomen,natPhaenomen
anwehen,verben,natPhaenomen
Tannenzweig,nomen,Pflanze
Bärin,nomen,Tier
Lufthauch,nomen,natPhaenomen
Wolkenbruch,nomen,natPhaenomen
ausbrennen,verben,natPhaenomen
Schwärze,nomen,natPhaenomen
Nachmittagssonne,nomen,natPhaenomen
landschaftlich,adj,natPhaenomen
Wanze,nomen,Tier
